Name,Functional Group,Default
Coscinaraea (encrusting),Hard coral,Co_enc
Coscinaraea_encrusting,Hard coral,cosenc
Coscinaraea_massive,Hard coral,cosmas
Coscinaraea monile,Hard coral,CoMon
Coscinaraea (sub-massive),Hard coral,Co_subm
Craterastrea,Hard coral,Craterastr
CRED-Goniopora/Alveopora spp,Hard coral,*GOAL
CRED-Pavona spp_encrusting,Hard coral,*PAEN
CRED-Pavona spp_foliose,Hard coral,*PAFO
CRED-Pavona spp_massive,Hard coral,*PAMA
CRED-Porites rus/monticulosa,Hard coral,*PRUS
CRED-Porites spp_encrusting,Hard coral,*POEN
CRED-Porites spp_foliose,Hard coral,*POFO
CREP-T2 Non-Scleractinian,Hard coral,*NS
CREP-T2 Tabulate hard coral,Hard coral,*TAB
CREP-T3a Lobophyllia/Symphyllia spp,Hard coral,*LOSY
CREP-T3a Montipora spp_non-encrusting,Hard coral,*MONE
CREP-T3a Platygyra/Leptoria spp,Hard coral,*PLLE
CREP-T3a Porites spp_non-massive,Hard coral,*POMN
C_SM_GAP,Hard coral,C_SM_GAP
C_SM_GAP_B,Hard coral,C_SM_GAP_B
C_SM_MON_B,Hard coral,C_SM_MON_B
C_SM_OTH_B,Hard coral,C_SM_OTH_B
C_SM_POR_B,Hard coral,C_SM_POR_B
C_TA_OTH_B,Hard coral,C_TA_OTH_B
C_TA_PAC,Hard coral,C_TA_PAC
C_TA_PAC_B,Hard coral,C_TA_PAC_B
Ctenactis,Hard coral,Ctena
Ctenella,Hard coral,Ctenella
Culicia tenella,Hard coral,CuTen
Cyathelia_bushy,Hard coral,sytbus
Cycloseris,Hard coral,Cyclo
Cycloseris curvata,Hard coral,CycCur
Cycloseris_massive,Hard coral,cycmas
Cycloseris vaughani,Hard coral,CycVau
Cynarina,Hard coral,Cynar
Cyphastrea,Hard coral,Cypha
Cyphastrea agassizi,Hard coral,CyphAga
Cyphastrea chalcidicum,Hard coral,CYPch
Cyphastrea_encrusting,Hard coral,cypenc
Cyphastrea_massive,Hard coral,cypmas
Cyphastrea microphthalma,Hard coral,CyphMic
Cyphastrea ocellina,Hard coral,CyphOce
Cyphastrea ocellina bleached,Hard coral,Cypoc BL
Cyphastrea serailia,Hard coral,CyphSer
Cyphastrea (sub-massive),Hard coral,Cyph_subm
Danafungia,Hard coral,Dana
Dark pink cca,Hard coral,Dark_pcca
Dead Acropora,Hard coral,Dead Acrop
Dead Acropora Arborescent,Hard coral,AcArb-D
Dead Acropora (branching),Hard coral,DAcropBra
Dead Acropora Plating,Hard coral,AcPlat-D
Dead Acropora (Tabulate),Hard coral,DAcropTab
Dead Acr other,Hard coral,AcrOther-D
Dead Foliose (Old),Hard coral,ODFoliose
Dead fungia,Hard coral,Fung-D
Dead Massive Coral,Hard coral,DMS
Dead Montipora,Hard coral,DMonti
Dead Other Acropora,Hard coral,DOAcro
Dead Pocillopora,Hard coral,D_Pocillo
Dead Pocillopora eydouxi,Hard coral,D_eyd
Dead Pocillopora (old),Hard coral,ODPoc
Dead Porites massive,Hard coral,PorMass-D
Dead Porites submassive,Hard coral,PorSubm-D
Dendrogyra cylindrus,Hard coral,DenCyl
Dendrophyllia,Hard coral,Dendroph
Diaseris,Hard coral,Diaser
Dichocoenia stellaris,Hard coral,CIS
Dichocoenia stokesi,Hard coral,Dicho_stok
Diploastrea,Hard coral,Diplo
